Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Jharkhand,7/6/2021,1,Milk,Raj,754.71,47.13,35569.4823,1,Polythene Packet,6/11/2021,6/12/2021,462,49.07,22670.34,Telangana,Online,292
Uttar Pradesh,11/8/2021,9,Paneer,Mother Dairy,410.84,65.14,26762.1176,11,Refrigerated,10/18/2021,10/29/2021,226,62.44,14111.44,Chandigarh,Wholesale,184
Telangana,3/26/2019,3,Cheese,Amul,115.3,10.41,1200.273,43,Refrigerated,2/22/2019,4/6/2019,82,6.77,555.14,Chandigarh,Retail,33
Maharashtra,4/14/2020,2,Butter,Parag Milk Foods,849.92,38.59,32798.4128,37,Refrigerated,3/12/2020,4/18/2020,256,40.09,10263.04,Tamil Nadu,Online,593
Rajasthan,9/12/2019,7,Lassi,Raj,814.38,40.88,33291.8544,15,Refrigerated,7/14/2019,7/29/2019,481,40.55,19504.55,Chandigarh,Retail,333
Haryana,3/7/2020,6,Curd,Sudha,499.31,16.06,8018.9186,6,Refrigerated,3/5/2020,3/11/2020,15,15.67,235.05,Chandigarh,Retail,484
West Bengal,1/4/2020,6,Curd,Amul,194.04,73.31,14225.0724,6,Refrigerated,11/15/2019,11/21/2019,44,72.28,3180.32,Rajasthan,Wholesale,150
Maharashtra,7/4/2022,9,Paneer,Mother Dairy,300.62,38.78,11658.0436,12,Refrigerated,6/23/2022,7/5/2022,60,35.63,2137.8,West Bengal,Online,240
Gujarat,6/21/2020,10,Ghee,Sudha,234.57,68.52,16072.7364,117,Ambient,5/28/2020,9/22/2020,112,64.53,7227.36,Uttar Pradesh,Wholesale,122
Uttar Pradesh,7/18/2022,5,Ice Cream,Palle2patnam,204.1,93.05,18991.505,23,Frozen,6/14/2022,7/7/2022,98,94.33,9244.34,Madhya Pradesh,Wholesale,106
Madhya Pradesh,7/17/2021,8,Buttermilk,Amul,31.09,26.77,832.2793,13,Refrigerated,7/13/2021,7/26/2021,30,31.06,931.8,Haryana,Wholesale,1
Chandigarh,2/15/2019,4,Yogurt,Dodla Dairy,370.74,30.34,11248.2516,24,Refrigerated,1/11/2019,2/4/2019,121,26.77,3239.17,Chandigarh,Wholesale,249
Bihar,3/2/2021,10,Ghee,Sudha,442.2,48.8,21579.36,66,Ambient,1/4/2021,3/11/2021,301,47.99,14444.99,Karnataka,Retail,141
Uttar Pradesh,8/6/2020,10,Ghee,Mother Dairy,187.79,15.19,2852.5301,85,Ambient,7/12/2020,10/5/2020,8,17.12,136.96,Gujarat,Retail,179
Gujarat,7/24/2020,10,Ghee,Raj,270.21,96.31,26023.9251,81,Ambient,7/15/2020,10/4/2020,217,91.62,19881.54,Madhya Pradesh,Retail,53
Haryana,10/28/2020,9,Paneer,Mother Dairy,788.45,19.2,15138.24,7,Refrigerated,8/30/2020,9/6/2020,134,23.81,3190.54,West Bengal,Retail,654
Jharkhand,6/25/2019,7,Lassi,Mother Dairy,456.81,81.7,37321.377,13,Refrigerated,6/1/2019,6/14/2019,117,79.79,9335.43,Telangana,Retail,339
Gujarat,10/25/2020,7,Lassi,Raj,594.21,66.31,39402.0651,17,Refrigerated,9/28/2020,10/15/2020,136,62.03,8436.08,Maharashtra,Online,458
Gujarat,8/16/2020,7,Lassi,Amul,665.07,31.25,20783.4375,18,Refrigerated,6/21/2020,7/9/2020,44,35.03,1541.32,Delhi,Online,621
Jharkhand,9/13/2020,3,Cheese,Britannia Industries,724.92,40.48,29344.7616,46,Frozen,9/1/2020,10/17/2020,695,44.37,30837.15,Delhi,Online,29
Tamil Nadu,9/26/2020,9,Paneer,Raj,829.83,32.64,27085.6512,8,Refrigerated,9/6/2020,9/14/2020,651,29.6,19269.6,Maharashtra,Online,178
Gujarat,10/11/2022,2,Butter,Parag Milk Foods,436.35,98.08,42797.208,26,Frozen,9/23/2022,10/19/2022,133,100.43,13357.19,Delhi,Retail,303
Karnataka,11/8/2020,2,Butter,Mother Dairy,199.89,37.8,7555.842,29,Frozen,10/7/2020,11/5/2020,193,33.52,6469.36,Haryana,Retail,6
Rajasthan,3/20/2021,3,Cheese,Britannia Industries,159.33,77.72,12383.1276,81,Frozen,3/6/2021,5/26/2021,144,82.38,11862.72,West Bengal,Online,15
Chandigarh,8/5/2020,8,Buttermilk,Amul,103.55,81.44,8433.112,10,Refrigerated,8/4/2020,8/14/2020,17,78.16,1328.72,Jharkhand,Wholesale,86
Jharkhand,2/26/2021,10,Ghee,Raj,938.27,68.21,63999.3967,109,Ambient,2/25/2021,6/14/2021,419,64.82,27159.58,Delhi,Online,519
Kerala,5/22/2022,1,Milk,Amul,605.73,89.78,54382.4394,1,Polythene Packet,3/23/2022,3/24/2022,492,94.68,46582.56,West Bengal,Wholesale,113
Jharkhand,6/23/2022,3,Cheese,Britannia Industries,292.97,26.38,7728.5486,82,Frozen,5/21/2022,8/11/2022,132,23.63,3119.16,Delhi,Retail,160
Tamil Nadu,1/28/2020,4,Yogurt,Dodla Dairy,968.17,35.61,34476.5337,25,Frozen,1/20/2020,2/14/2020,842,37.29,31398.18,Maharashtra,Online,126
Maharashtra,3/27/2022,1,Milk,Mother Dairy,912.1,95.77,87351.817,2,Polythene Packet,2/22/2022,2/24/2022,148,94.95,14052.6,Delhi,Online,764
Maharashtra,10/22/2019,9,Paneer,Raj,739.64,19.47,14400.7908,14,Refrigerated,10/6/2019,10/20/2019,239,15.74,3761.86,Telangana,Online,500
Delhi,2/20/2021,4,Yogurt,Palle2patnam,820.1,51.68,42382.768,24,Frozen,12/25/2020,1/18/2021,385,50.05,19269.25,Bihar,Retail,435
West Bengal,7/17/2019,7,Lassi,Amul,773.61,67.65,52334.7165,13,Refrigerated,7/4/2019,7/17/2019,597,67.5,40297.5,Maharashtra,Wholesale,176
Bihar,5/26/2020,3,Cheese,Britannia Industries,655.72,14.42,9455.4824,26,Refrigerated,5/5/2020,5/31/2020,329,11.6,3816.4,Kerala,Online,326
Maharashtra,9/5/2019,1,Milk,Mother Dairy,909.03,84.61,76913.0283,30,Tetra Pack,9/3/2019,10/3/2019,443,85.52,37885.36,Bihar,Wholesale,466
West Bengal,9/2/2021,3,Cheese,Britannia Industries,829.91,28.02,23254.0782,55,Frozen,7/26/2021,9/19/2021,757,32.36,24496.52,Maharashtra,Retail,72
Delhi,3/22/2020,6,Curd,Mother Dairy,224.6,95.23,21388.658,6,Refrigerated,2/10/2020,2/16/2020,19,91.61,1740.59,Tamil Nadu,Online,205
Telangana,2/7/2020,9,Paneer,Amul,277.21,66.37,18398.4277,11,Refrigerated,2/4/2020,2/15/2020,267,70.91,18932.97,West Bengal,Retail,10
Kerala,11/21/2019,7,Lassi,Mother Dairy,757.12,15.81,11970.0672,15,Refrigerated,10/20/2019,11/4/2019,177,12.38,2191.26,Chandigarh,Wholesale,580
Haryana,1/11/2019,1,Milk,Amul,842.01,48.67,40980.6267,23,Tetra Pack,12/7/2018,12/30/2018,668,47.24,31556.32,Chandigarh,Retail,174
Chandigarh,6/28/2020,10,Ghee,Amul,834.79,69.97,58410.2563,69,Ambient,6/10/2020,8/18/2020,597,72.13,43061.61,Tamil Nadu,Wholesale,237
Uttar Pradesh,4/25/2019,10,Ghee,Sudha,423.59,11.53,4883.9927,150,Ambient,4/1/2019,8/29/2019,118,15.52,1831.36,Telangana,Retail,305
Jharkhand,6/17/2019,2,Butter,Mother Dairy,502.18,49.58,24898.0844,38,Frozen,6/15/2019,7/23/2019,36,51.33,1847.88,Chandigarh,Online,466
Chandigarh,7/24/2019,9,Paneer,Mother Dairy,202.2,75.07,15179.154,13,Refrigerated,6/4/2019,6/17/2019,91,70.81,6443.71,Karnataka,Retail,111
Jharkhand,12/10/2022,7,Lassi,Sudha,741.95,84.28,62531.546,13,Refrigerated,12/9/2022,12/22/2022,251,89.27,22406.77,Uttar Pradesh,Wholesale,490
Rajasthan,5/5/2020,7,Lassi,Sudha,356.66,28.8,10271.808,18,Refrigerated,5/4/2020,5/22/2020,32,28.92,925.44,Telangana,Retail,324
Chandigarh,8/15/2021,1,Milk,Raj,247.12,35.67,8814.7704,25,Tetra Pack,7/25/2021,8/19/2021,204,34.58,7054.32,Kerala,Online,43
Chandigarh,6/13/2019,9,Paneer,Raj,487.52,62.35,30396.872,7,Refrigerated,6/9/2019,6/16/2019,297,66.67,19800.99,Delhi,Wholesale,190
Delhi,5/8/2022,9,Paneer,Sudha,607.04,55.17,33490.3968,14,Refrigerated,4/7/2022,4/21/2022,367,50.53,18544.51,Delhi,Retail,240
Madhya Pradesh,3/19/2021,4,Yogurt,Dodla Dairy,70.27,35.14,2469.2878,24,Refrigerated,2/23/2021,3/19/2021,38,37.2,1413.6,Bihar,Retail,32
Rajasthan,11/8/2019,2,Butter,Amul,776.61,89.92,69832.7712,27,Refrigerated,10/12/2019,11/8/2019,723,86.16,62293.68,Jharkhand,Wholesale,53
Gujarat,5/10/2019,9,Paneer,Mother Dairy,614.13,32.9,20204.877,13,Refrigerated,5/4/2019,5/17/2019,153,32.96,5042.88,Maharashtra,Retail,461
Madhya Pradesh,11/23/2019,3,Cheese,Dynamix Dairies,247.81,30.91,7659.8071,38,Frozen,11/17/2019,12/25/2019,107,35.52,3800.64,Kerala,Wholesale,140
Madhya Pradesh,7/24/2020,2,Butter,Mother Dairy,30.64,61.14,1873.3296,27,Refrigerated,7/21/2020,8/17/2020,18,56.29,1013.22,Rajasthan,Wholesale,12
Jharkhand,12/16/2021,1,Milk,Mother Dairy,601.93,33.02,19875.7286,2,Polythene Packet,11/30/2021,12/2/2021,386,31.53,12170.58,Chandigarh,Online,215
Tamil Nadu,9/22/2021,4,Yogurt,Amul,469.32,31.56,14811.7392,23,Frozen,9/17/2021,10/10/2021,192,35.18,6754.56,Maharashtra,Online,277
Haryana,5/28/2022,8,Buttermilk,Amul,419.23,72.24,30285.1752,13,Refrigerated,5/7/2022,5/20/2022,176,71.71,12620.96,Maharashtra,Online,243
Tamil Nadu,5/25/2020,10,Ghee,Raj,886.48,53.46,47391.2208,61,Ambient,3/30/2020,5/30/2020,192,56.15,10780.8,Maharashtra,Retail,694
West Bengal,10/25/2021,5,Ice Cream,Mother Dairy,928.57,49.56,46019.9292,28,Frozen,10/11/2021,11/8/2021,778,53.39,41537.42,Delhi,Retail,150
Tamil Nadu,6/14/2022,2,Butter,Warana,686.59,90.54,62163.8586,34,Refrigerated,6/6/2022,7/10/2022,166,94.52,15690.32,Maharashtra,Online,520
Gujarat,7/20/2019,3,Cheese,Dynamix Dairies,34.5,91.1,3142.95,27,Frozen,7/16/2019,8/12/2019,14,88.63,1240.82,Delhi,Retail,20
Chandigarh,2/26/2019,6,Curd,Amul,127.22,56.68,7210.8296,7,Refrigerated,1/17/2019,1/24/2019,55,52.47,2885.85,Rajasthan,Retail,72
West Bengal,11/15/2020,8,Buttermilk,Sudha,419.67,24.6,10323.882,12,Refrigerated,10/17/2020,10/29/2020,86,27.42,2358.12,Rajasthan,Retail,333
Telangana,7/14/2019,3,Cheese,Dynamix Dairies,373.35,14.08,5256.768,44,Refrigerated,6/12/2019,7/26/2019,229,13.35,3057.15,Delhi,Wholesale,144
Haryana,10/18/2022,7,Lassi,Raj,763.48,12.08,9222.8384,18,Refrigerated,9/23/2022,10/11/2022,565,11.53,6514.45,Delhi,Retail,198
Gujarat,7/17/2020,5,Ice Cream,Dodla Dairy,909.73,12.78,11626.3494,28,Frozen,5/22/2020,6/19/2020,424,8.13,3447.12,Uttar Pradesh,Wholesale,485
Delhi,6/14/2020,5,Ice Cream,Dodla Dairy,848.03,92.97,78841.3491,30,Frozen,6/11/2020,7/11/2020,441,90.81,40047.21,Bihar,Retail,407
Bihar,5/1/2019,2,Butter,Amul,281.3,11.45,3220.885,31,Refrigerated,3/6/2019,4/6/2019,135,16.23,2191.05,Bihar,Online,146
Maharashtra,8/25/2022,8,Buttermilk,Amul,828.27,75.92,62882.2584,13,Refrigerated,7/23/2022,8/5/2022,634,79.85,50624.9,West Bengal,Retail,194
Jharkhand,2/12/2022,3,Cheese,Dynamix Dairies,282.43,14.78,4174.3154,57,Frozen,1/24/2022,3/22/2022,80,11.33,906.4,Delhi,Retail,202
Chandigarh,7/25/2020,8,Buttermilk,Amul,940.62,22.1,20787.702,11,Refrigerated,7/5/2020,7/16/2020,906,24.66,22341.96,Rajasthan,Wholesale,34
Delhi,11/14/2020,9,Paneer,Mother Dairy,307.33,56.54,17376.4382,7,Refrigerated,9/26/2020,10/3/2020,7,57.31,401.17,Tamil Nadu,Retail,300
Rajasthan,6/23/2019,6,Curd,Raj,298.76,41.38,12362.6888,6,Refrigerated,5/20/2019,5/26/2019,216,43.11,9311.76,Delhi,Wholesale,82
Maharashtra,1/5/2020,9,Paneer,Amul,245.72,97.56,23972.4432,8,Refrigerated,11/8/2019,11/16/2019,5,93.59,467.95,Gujarat,Retail,240
Maharashtra,8/5/2020,9,Paneer,Mother Dairy,45.09,27.05,1219.6845,14,Refrigerated,6/13/2020,6/27/2020,39,28.93,1128.27,West Bengal,Retail,6
Telangana,4/11/2022,7,Lassi,Mother Dairy,186.92,96.13,17968.6196,12,Refrigerated,2/17/2022,3/1/2022,45,98.16,4417.2,Chandigarh,Online,141
Madhya Pradesh,1/3/2022,6,Curd,Mother Dairy,328.37,84.12,27622.4844,6,Refrigerated,12/1/2021,12/7/2021,95,84.25,8003.75,Jharkhand,Retail,233
Jharkhand,5/14/2019,1,Milk,Sudha,475.09,98.87,46972.1483,29,Tetra Pack,5/11/2019,6/9/2019,272,102.79,27958.88,Maharashtra,Online,203
Tamil Nadu,7/23/2019,1,Milk,Mother Dairy,723.83,28.75,20810.1125,2,Polythene Packet,5/26/2019,5/28/2019,191,25.47,4864.77,Jharkhand,Wholesale,532
Bihar,1/14/2020,3,Cheese,Dynamix Dairies,43.17,65.72,2837.1324,60,Refrigerated,1/9/2020,3/9/2020,42,70.57,2963.94,Gujarat,Wholesale,1
Chandigarh,3/13/2022,8,Buttermilk,Amul,462.95,41.91,19402.2345,9,Refrigerated,1/24/2022,2/2/2022,223,46.35,10336.05,Karnataka,Wholesale,239
Tamil Nadu,2/14/2020,3,Cheese,Passion Cheese,498.23,60.45,30118.0035,75,Frozen,1/19/2020,4/3/2020,225,57.28,12888,Jharkhand,Online,273
Uttar Pradesh,11/18/2022,4,Yogurt,Palle2patnam,12.3,17.98,221.154,26,Frozen,10/22/2022,11/17/2022,12,19.15,229.8,Jharkhand,Wholesale,0
Chandigarh,4/21/2019,10,Ghee,Raj,75.67,28.05,2122.5435,130,Ambient,3/26/2019,8/3/2019,38,32.46,1233.48,Delhi,Wholesale,37
Uttar Pradesh,8/26/2019,8,Buttermilk,Raj,119.49,30.44,3637.2756,11,Refrigerated,8/18/2019,8/29/2019,6,30.35,182.1,Rajasthan,Online,113
Delhi,11/1/2022,4,Yogurt,Palle2patnam,250.06,47.29,11825.3374,29,Refrigerated,9/15/2022,10/14/2022,98,44.74,4384.52,Telangana,Wholesale,152
Delhi,11/16/2020,4,Yogurt,Palle2patnam,10.4,48.2,501.28,27,Refrigerated,10/30/2020,11/26/2020,9,46.68,420.12,Chandigarh,Wholesale,1
Madhya Pradesh,5/11/2019,3,Cheese,Britannia Industries,103.28,13.07,1349.8696,25,Refrigerated,4/8/2019,5/3/2019,51,16.27,829.77,Bihar,Online,52
Gujarat,4/4/2019,3,Cheese,Passion Cheese,442.02,84.63,37408.1526,66,Frozen,3/30/2019,6/4/2019,438,86.46,37869.48,Delhi,Wholesale,4
Bihar,2/17/2021,4,Yogurt,Amul,602.96,46.83,28236.6168,25,Frozen,2/13/2021,3/10/2021,257,45.9,11796.3,West Bengal,Wholesale,345
Jharkhand,1/5/2020,8,Buttermilk,Raj,540,43.79,23646.6,9,Refrigerated,12/20/2019,12/29/2019,290,43.17,12519.3,Kerala,Retail,250
Haryana,6/19/2020,1,Milk,Raj,479.73,32.19,15442.5087,2,Polythene Packet,4/28/2020,4/30/2020,449,28.55,12818.95,Haryana,Wholesale,30
Haryana,4/17/2019,10,Ghee,Mother Dairy,243.39,65.45,15929.8755,95,Ambient,3/9/2019,6/12/2019,152,60.82,9244.64,Kerala,Retail,91
Bihar,5/19/2021,10,Ghee,Raj,625.81,84.23,52711.9763,150,Ambient,5/8/2021,10/5/2021,290,80.4,23316,Jharkhand,Online,335
Chandigarh,1/7/2019,7,Lassi,Raj,701.6,26.49,18585.384,18,Refrigerated,11/9/2018,11/27/2018,679,26.63,18081.77,Tamil Nadu,Retail,22
Telangana,7/12/2019,4,Yogurt,Palle2patnam,152.88,34.56,5283.5328,21,Frozen,5/26/2019,6/16/2019,95,36.77,3493.15,Chandigarh,Retail,57
Madhya Pradesh,11/24/2021,8,Buttermilk,Mother Dairy,224.4,78.27,17563.788,9,Refrigerated,9/28/2021,10/7/2021,200,80.2,16040,Tamil Nadu,Wholesale,24
Bihar,7/8/2020,3,Cheese,Amul,209.17,65.15,13627.4255,45,Refrigerated,6/9/2020,7/24/2020,121,69.99,8468.79,Maharashtra,Retail,88
Rajasthan,8/3/2020,6,Curd,Amul,951.04,96.06,91356.9024,6,Refrigerated,6/20/2020,6/26/2020,163,96.29,15695.27,West Bengal,Retail,788
Bihar,12/20/2022,9,Paneer,Sudha,778.25,50.2,39068.15,9,Refrigerated,11/10/2022,11/19/2022,635,47.1,29908.5,Karnataka,Online,143
Kerala,5/20/2020,4,Yogurt,Palle2patnam,895.74,79.47,71184.4578,27,Refrigerated,5/6/2020,6/2/2020,272,82.86,22537.92,Chandigarh,Wholesale,623
Maharashtra,3/24/2020,3,Cheese,Dynamix Dairies,786.2,60.06,47219.172,82,Refrigerated,3/11/2020,6/1/2020,544,56.31,30632.64,Bihar,Online,242
Rajasthan,2/13/2019,9,Paneer,Raj,480.87,70.3,33805.161,9,Refrigerated,1/8/2019,1/17/2019,292,67.95,19841.4,Uttar Pradesh,Wholesale,188
Kerala,6/21/2022,10,Ghee,Sudha,197.25,53.11,10475.9475,89,Ambient,5/18/2022,8/15/2022,132,57.82,7632.24,Tamil Nadu,Retail,65
Telangana,2/28/2022,9,Paneer,Raj,98.19,44.05,4325.2695,8,Refrigerated,1/29/2022,2/6/2022,58,40.85,2369.3,Delhi,Online,40
Tamil Nadu,12/3/2020,5,Ice Cream,Amul,850.47,89.26,75912.9522,23,Frozen,12/2/2020,12/25/2020,659,90.65,59738.35,Jharkhand,Wholesale,191
Delhi,5/22/2020,10,Ghee,Amul,217.19,56.6,12292.954,127,Ambient,5/9/2020,9/13/2020,193,54.87,10589.91,Chandigarh,Wholesale,24
Delhi,12/25/2021,4,Yogurt,Amul,447.59,36.44,16310.1796,27,Refrigerated,10/28/2021,11/24/2021,81,32.53,2634.93,Karnataka,Wholesale,366
Delhi,9/19/2020,8,Buttermilk,Amul,128.53,83.55,10738.6815,9,Refrigerated,8/21/2020,8/30/2020,54,78.75,4252.5,Rajasthan,Retail,74
Maharashtra,7/19/2021,6,Curd,Sudha,212.47,45.04,9569.6488,5,Refrigerated,7/14/2021,7/19/2021,149,40.22,5992.78,Karnataka,Wholesale,63
Delhi,8/24/2019,1,Milk,Mother Dairy,313.84,71.11,22317.1624,2,Polythene Packet,7/11/2019,7/13/2019,24,75.84,1820.16,Delhi,Wholesale,289
Karnataka,5/10/2022,8,Buttermilk,Mother Dairy,505.82,83.5,42235.97,13,Refrigerated,3/30/2022,4/12/2022,142,79.59,11301.78,Jharkhand,Online,363
Maharashtra,11/16/2022,4,Yogurt,Dodla Dairy,775.23,29.45,22830.5235,22,Frozen,10/29/2022,11/20/2022,683,28.98,19793.34,Telangana,Online,92
Delhi,10/9/2019,4,Yogurt,Palle2patnam,430.18,98.36,42312.5048,25,Frozen,8/25/2019,9/19/2019,193,102.31,19745.83,Delhi,Retail,237
Uttar Pradesh,1/3/2020,6,Curd,Raj,118.09,71.55,8449.3395,5,Refrigerated,12/19/2019,12/24/2019,82,71.06,5826.92,Rajasthan,Online,36
Karnataka,11/12/2021,2,Butter,Warana,798.54,29.73,23740.5942,39,Frozen,10/23/2021,12/1/2021,722,25.04,18078.88,West Bengal,Online,76
West Bengal,2/24/2022,9,Paneer,Sudha,198.24,35.81,7098.9744,14,Refrigerated,2/3/2022,2/17/2022,160,36.59,5854.4,West Bengal,Wholesale,38
Maharashtra,1/7/2019,2,Butter,Warana,821.77,43.29,35574.4233,32,Frozen,11/25/2018,12/27/2018,776,47.92,37185.92,Delhi,Wholesale,45
Maharashtra,10/13/2021,2,Butter,Warana,257.57,76.12,19606.2284,27,Frozen,9/28/2021,10/25/2021,74,80.93,5988.82,Rajasthan,Retail,183
Bihar,2/2/2021,4,Yogurt,Amul,301.18,76.36,22998.1048,29,Frozen,12/24/2020,1/22/2021,62,75.7,4693.4,Rajasthan,Wholesale,239
Delhi,11/27/2019,10,Ghee,Mother Dairy,581.52,68.11,39607.3272,131,Ambient,10/3/2019,2/11/2020,141,70.17,9893.97,Delhi,Retail,440
Uttar Pradesh,12/12/2020,10,Ghee,Raj,297.77,57.76,17199.1952,118,Ambient,10/22/2020,2/17/2021,188,54.9,10321.2,Chandigarh,Online,109
Madhya Pradesh,7/16/2020,1,Milk,Raj,861.63,74.56,64243.1328,2,Polythene Packet,6/26/2020,6/28/2020,583,71.46,41661.18,Jharkhand,Wholesale,278
Maharashtra,1/14/2021,2,Butter,Warana,598.28,64.39,38523.2492,32,Frozen,12/19/2020,1/20/2021,506,68.75,34787.5,Karnataka,Retail,92
Karnataka,9/12/2021,7,Lassi,Amul,457.09,42.1,19243.489,13,Refrigerated,9/4/2021,9/17/2021,66,38.4,2534.4,West Bengal,Wholesale,391
Karnataka,6/25/2019,5,Ice Cream,Palle2patnam,841.8,18.29,15396.522,28,Frozen,5/12/2019,6/9/2019,816,23.06,18816.96,Maharashtra,Retail,25
Uttar Pradesh,5/10/2019,9,Paneer,Raj,106.97,29.08,3110.6876,8,Refrigerated,3/25/2019,4/2/2019,97,31.68,3072.96,Haryana,Retail,9
Rajasthan,3/9/2020,8,Buttermilk,Mother Dairy,4.92,33.99,167.2308,10,Refrigerated,1/9/2020,1/19/2020,1,37.83,37.83,Maharashtra,Online,3
Gujarat,6/20/2021,7,Lassi,Mother Dairy,181.93,14.53,2643.4429,14,Refrigerated,5/2/2021,5/16/2021,151,18.92,2856.92,Telangana,Wholesale,30
Haryana,2/11/2022,6,Curd,Sudha,145,75.09,10888.05,7,Refrigerated,12/23/2021,12/30/2021,101,70.95,7165.95,Kerala,Retail,44
West Bengal,10/10/2022,8,Buttermilk,Sudha,103.12,12.84,1324.0608,10,Refrigerated,8/18/2022,8/28/2022,50,11.97,598.5,Tamil Nadu,Retail,53
Bihar,8/9/2021,5,Ice Cream,Amul,988.41,30.02,29672.0682,21,Frozen,7/21/2021,8/11/2021,757,31.6,23921.2,Karnataka,Wholesale,231
Chandigarh,5/28/2020,7,Lassi,Mother Dairy,809.49,14.4,11656.656,14,Refrigerated,5/14/2020,5/28/2020,422,17.37,7330.14,Chandigarh,Retail,387
Tamil Nadu,8/10/2020,4,Yogurt,Amul,8.92,96.34,859.3528,27,Refrigerated,7/8/2020,8/4/2020,8,99.2,793.6,Kerala,Online,0
Delhi,2/21/2019,7,Lassi,Sudha,211.13,94.88,20032.0144,12,Refrigerated,2/13/2019,2/25/2019,46,93.27,4290.42,Haryana,Online,165
Kerala,11/5/2019,5,Ice Cream,Palle2patnam,460.37,40.66,18718.6442,27,Frozen,9/18/2019,10/15/2019,17,40.43,687.31,Delhi,Retail,443
Madhya Pradesh,10/7/2020,2,Butter,Amul,356.58,72.04,25688.0232,28,Refrigerated,8/15/2020,9/12/2020,110,70.27,7729.7,Jharkhand,Wholesale,246
Rajasthan,4/7/2019,4,Yogurt,Palle2patnam,57.09,12.34,704.4906,21,Refrigerated,3/27/2019,4/17/2019,56,11.02,617.12,Kerala,Retail,1
Kerala,3/18/2021,7,Lassi,Raj,936.96,76.27,71461.9392,17,Refrigerated,2/22/2021,3/11/2021,120,76.49,9178.8,Rajasthan,Retail,816
Haryana,4/23/2021,1,Milk,Mother Dairy,789.19,92.89,73307.8591,22,Tetra Pack,3/27/2021,4/18/2021,134,91.17,12216.78,Delhi,Wholesale,655
Telangana,3/28/2019,8,Buttermilk,Sudha,277.99,14.12,3925.2188,9,Refrigerated,2/1/2019,2/10/2019,85,12.1,1028.5,Tamil Nadu,Online,192
Tamil Nadu,3/5/2019,10,Ghee,Sudha,443.29,99.65,44173.8485,60,Ambient,1/10/2019,3/11/2019,382,103.11,39388.02,Gujarat,Wholesale,61
West Bengal,2/13/2020,8,Buttermilk,Sudha,664.72,75.74,50345.8928,7,Refrigerated,1/10/2020,1/17/2020,635,78.85,50069.75,Delhi,Wholesale,29
West Bengal,2/5/2022,6,Curd,Mother Dairy,42.13,76.65,3229.2645,6,Refrigerated,12/15/2021,12/21/2021,10,78.82,788.2,Delhi,Online,32
Chandigarh,5/6/2019,2,Butter,Parag Milk Foods,764.41,68.75,52553.1875,27,Refrigerated,3/15/2019,4/11/2019,398,68.41,27227.18,Rajasthan,Online,366
Madhya Pradesh,9/16/2021,1,Milk,Amul,903.11,54.38,49111.1218,2,Polythene Packet,8/10/2021,8/12/2021,82,58.65,4809.3,Chandigarh,Wholesale,821
Bihar,10/3/2019,9,Paneer,Raj,978.29,72.66,71082.5514,12,Refrigerated,9/19/2019,10/1/2019,792,71.09,56303.28,Kerala,Wholesale,186
Delhi,4/20/2020,10,Ghee,Mother Dairy,387.02,61.92,23964.2784,92,Ambient,3/3/2020,6/3/2020,17,61.52,1045.84,Delhi,Online,370
West Bengal,10/5/2022,9,Paneer,Amul,929.42,28.42,26414.1164,10,Refrigerated,9/17/2022,9/27/2022,87,24.14,2100.18,Gujarat,Wholesale,842
Delhi,12/1/2021,9,Paneer,Amul,811.16,45.63,37013.2308,7,Refrigerated,11/10/2021,11/17/2021,730,43.36,31652.8,Tamil Nadu,Online,81
Kerala,9/2/2019,7,Lassi,Mother Dairy,643.78,38.29,24650.3362,12,Refrigerated,7/23/2019,8/4/2019,321,41.19,13221.99,Tamil Nadu,Retail,322
Telangana,1/20/2019,10,Ghee,Mother Dairy,528.65,81.97,43333.4405,69,Ambient,12/9/2018,2/16/2019,144,81.18,11689.92,Tamil Nadu,Online,384
Chandigarh,9/20/2019,1,Milk,Raj,142.96,71.92,10281.6832,30,Tetra Pack,9/3/2019,10/3/2019,29,76.31,2212.99,Madhya Pradesh,Wholesale,113
Kerala,6/1/2020,8,Buttermilk,Mother Dairy,320.25,48.42,15506.505,12,Refrigerated,5/14/2020,5/26/2020,212,49.6,10515.2,Uttar Pradesh,Online,108
Bihar,1/25/2020,2,Butter,Warana,587.33,45.64,26805.7412,40,Refrigerated,12/15/2019,1/24/2020,272,42.15,11464.8,Delhi,Wholesale,315
Uttar Pradesh,12/1/2022,7,Lassi,Mother Dairy,887.2,70.41,62467.752,15,Refrigerated,10/27/2022,11/11/2022,290,68.94,19992.6,Haryana,Retail,597
West Bengal,6/20/2021,6,Curd,Sudha,761.15,31.52,23991.448,7,Refrigerated,6/8/2021,6/15/2021,156,34,5304,Tamil Nadu,Retail,605
Uttar Pradesh,4/25/2019,8,Buttermilk,Raj,369,48.3,17822.7,7,Refrigerated,2/28/2019,3/7/2019,278,50.95,14164.1,West Bengal,Wholesale,91
Jharkhand,5/6/2022,2,Butter,Amul,161.58,56.12,9067.8696,26,Frozen,4/9/2022,5/5/2022,26,54.76,1423.76,Rajasthan,Retail,135
